Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CENTROID_NOT_SPECIFIED,CHECK_PRICES,COPYRIGHT,DATASHEET,DESCRIPTION,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,HEIGHT,LEAD_FREE,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,MPN,PACKAGE,POPULARITY,PREFIX,PRICE,PROD_ID,PURCHASE-URL,ROHS,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,TP_SIGNAL_NAME,VALUE
1,BD5229G-TR,BD5229G-TR,SOT95P280X125-5N,IC1,"Voltage Detector with Adjustable Delay Time: CMOS processes are utilized to develop high precision, low current consumption CMOS reset ICs that allow arbitrary setting of the delay time. The extensive lineup includes both Nch Open Drain and CMOS output types in a wide range of detection voltages (from 2.3V to 6.0V, in 0.1V steps), enabling selection of the ideal solution based on customer requirements. In addition, the entire series is of course both lead-free and RoHS-compliant.",,,,,,,https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/voltage_detector/bd52xxg-e.pdf,"Voltage Detector with Adjustable Delay Time: CMOS processes are utilized to develop high precision"," low current consumption CMOS reset ICs that allow arbitrary setting of the delay time. The extensive lineup includes both Nch Open Drain and CMOS output types in a wide range of detection voltages (from 2.3V to 6.0V"," in 0.1V steps)"," enabling selection of the ideal solution based on customer requirements. In addition"," the entire series is of course both lead-free and RoHS-compliant.",,,1.25mm,,"ROHM Semiconductor",BD5229G-TR,,,755-BD5229G-TR,https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/BD5229G-TR?qs=4kLU8WoGk0vvnhrrYwdszw%3D%3D,,,,,,,,,,,,,,
1,BME688,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,SENSOR2,"Integrated Environmental Unit",,,Unavailable,,,,https://ro.mouser.com/datasheet/2/783/BST_BME680_DS001-1509608.pdf," Integrated Environmental Unit ",,,,,,,"Bosch Sensortec",,,https://ro.mouser.com/ProductDetail/Bosch-Sensortec/BME680?qs=v271MhAjFHjo0yA%2FC4OnDQ%3D%3D,,,BME680,,"LGA-8 Bosch Tools",,,None,,,,,,,,,,
3,BUTTON_CUSYOMV1,BUTTON_CUSYOMV1,MYBUTTON,"BOOT_BUTTON, CHANGE_BUTTON, RESET_BUTTON",,,,,,,,https://4donline.ihs.com/images/VipMasterIC/IC/PANA/PANAS45028/PANAS45028-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,,,,,,,,,,,https://ro.mouser.com/ProductDetail/Panasonic/EVQ-9P701P?qs=NPkb10g2yLBKCwpELvsGNg%3D%3D,,,,,,,,,,,,,,,,,,
1,CPH3225A,CPH3225A,CAPCP3225X100N,C6,"Cap 0.011F 3.3V 1210 Flat Check availability",,,"Not in stock",,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=eda,,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6537/rev05-CPHCPM.pdf," 11 mF (EDLC) Supercapacitor 3.3 V 1210 (3225 Metric) - - ",,,,,,,"Seiko Instruments",,,,,,CPH3225A,,"1210 Seiko",,,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=562593&manufacturer=Seiko Instruments&part_name=CPH3225A&search_term=None",,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=snap,,,,,,
1,DS3231SN#,DS3231SN#,SOIC127P1032X265-16N,U4,"Real Time Clock Serial 16-Pin SOIC W T/R     Check availability",,,"In Stock",,https://www.snapeda.com/parts/DS3231SN%23/Analog+Devices/view-part/?ref=eda,,https://ro.mouser.com/datasheet/2/609/DS3231-3421123.pdf," Extremely Accurate I²C-Integrated RTC/TCXO/Crystal ",,,,,,,"Analog Devices",,,,,,DS3231SN#,,"SOIC-16 Maxim",,,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=99048&manufacturer=Analog Devices&part_name=DS3231SN#&search_term=None",,https://www.snapeda.com/parts/DS3231SN%23/Analog+Devices/view-part/?ref=snap,,,,,,
1,ESP32-C6-WROOM-1-N8,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,U1,"Check availability",,,"In Stock",,https://www.snapeda.com/parts/ESP32-C6-WROOM-1-N8/Espressif+Systems/view-part/?ref=eda,,https://www.espressif.com/sites/default/files/documentation/esp32-c6-wroom-1_wroom-1u_datasheet_en.pdf," Multiprotocol Modules ESP32-C6 module"," Wi-Fi 6 in 2.4 GHz band"," Bluetooth 5"," Zigbee 3.0 and Thread. ESP34-WROOM Compatible - ENGINEERING SAMPLE ",,,,,,,"Espressif Systems",,,,,,ESP32-C6-WROOM-1-N8,,None,,,None,,,,https://www.snapeda.com/parts/ESP32-C6-WROOM-1-N8/Espressif+Systems/view-part/?ref=snap,,,
1,ESP32C6_VARISTORCN1812,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,R18,VARISTOR,,,,,,,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2123/CTVS_Standard_Rev2015.pdf,,,,,,,,,,,https://www.digikey.be/en/products/detail/epcos-tdk-electronics/CN1812K11G/635074?srsltid=AfmBOora8jXqSIsuJ5wbLbjXOKEBe4X6EtjlDXrR_O7ItUtFQ009LUoi,,,,,,0,,,,,,,,,,,,
2,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,"D1, D13","Schottky Barrier Rectifier Diode",,,,No,,,http://datasheets.avx.com/schottky.pdf,,"DIODE SCHOTTKY 20V 1A 0805",478-7800-1-ND,,yes,,,AVX,,581-SD0805S020S1R0,,,,,,"0805 (2012 metric)",,D,,,,yes,,,,+125°C,-55°C,,
1,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,MCP73831,"MCP73831T Li-Ion, Li-Pol Controller",,,,,,,https://ro.mouser.com/datasheet/2/268/MCP73831_Family_Data_Sheet_DS20001984H-3441711.pdf,,,,,,,,,,,https://www.mouser.dk/ProductDetail/Microchip-Technology/MCP73831T-3ACI-OT?qs=yUQqVecv4quInAWkk8YFWg%3D%3D,,,,,,,,,IC-09995,,,,,,,,,
1,FH34SRJ-24S-0.5SH_99_,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,J3," (0.50mm) Surface Mount, Right Angle",,,,,,,https://ro.mouser.com/datasheet/2/185/FH34SRJ_24S_0_5SH_99__CL0580_1255_6_99_2DDrawing_0-1615044.pdf,"24 Position FFC"," FPC Connector Contacts"," (0.50mm) Surface Mount"," Right Angle",,,1.1mm,,Hirose,FH34SRJ-24S-0.5SH(99),,,798-FH34SRJ24S05SH99,https://www.mouser.co.uk/ProductDetail/Hirose-Connector/FH34SRJ-24S-0.5SH99?qs=vcbW%252B4%252BSTIpKBl5ap9J8Fw%3D%3D,,,,,,,,,,,,,,,
1,MAX17048G+T10,MAX17048G+T10,SON50P200X200X80-9N,U2,"Check availability",,,"In Stock",,https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=eda,,https://ro.mouser.com/datasheet/2/609/MAX17048_MAX17049-3469099.pdf," 3µA 1-Cell/2-Cell Fuel Gauge with ModelGauge ",,,,,,,"Analog Devices",,,,,,MAX17048G+T10,,"TDFN-8 Maxim",,,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=329239&manufacturer=Analog Devices&part_name=MAX17048G+T10&search_term=None",,https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=snap,,,,,,
3,MBR0530,MBR0530,SOD3716X135N,"D3, D5, D7","ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123",,,"In Stock",,https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda,,https://www.onsemi.cn/pdf/datasheet/mbr0530-d.pdf," Diode Schottky 30 V 500mA Surface Mount SOD-123 ",,,,,,,"ON Semiconductor",,,,,,MBR0530,,"SOD-123-2 ON Semiconductor",,,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=179458&manufacturer=ON Semiconductor&part_name=MBR0530&search_term=None",,https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=snap,,,,,,
6,PGB1010603MR,PGB1010603MR,DIOC1608X36N,"D2, D4, D6, D8, D10, D11","Check availability",,,"In Stock",,https://www.snapeda.com/parts/PGB1010603MR/Littelfuse/view-part/?ref=eda,,https://www.littelfuse.com/assetdocs/pulseguard-esd-suppressors-pgb1-datasheet?assetguid=8a337998-d54d-466b-be4e-dc5bcd1f9321," 150V (Typ) Clamp - Ipp Tvs Diode Surface Mount 0603 (1608 Metric) ",,,,,,,"Littelfuse Inc.",,,,,,PGB1010603MR,,"0603 Littelfuse Inc.",,,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=5659453&manufacturer=Littelfuse Inc.&part_name=PGB1010603MR&search_term=None",,https://www.snapeda.com/parts/PGB1010603MR/Littelfuse/view-part/?ref=snap,,,,,,
1,QWIIC_RIGHT_ANGLE,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,J2,"SparkFun I2C Standard Qwiic Connector",,,,,,,https://ro.mouser.com/datasheet/2/813/Qwiic_Connector_Datasheet-1223982.pdf,,,,,,,,,,,https://ro.mouser.com/ProductDetail/SparkFun/PRT-14417?qs=wd5RIQLrsJhgdz%2FpmZ%2F3GQ%3D%3D&srsltid=AfmBOoqQ1oOwS9wen4cUg5-iBLh8Bm57R1iVLhkDmOc94Djde0aRxIcK,,,,,,,,,CONN-13694,,,,,,,,,QWIIC_RIGHT_ANGLE
1,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,J4,"CONN USB 2.0 TYPE-C R/A SMT",,,,,,,https://ro.mouser.com/datasheet/2/837/GCT_USB4110_Product_Drawing___20k_cycles-3455479.pdf,"CONN USB 2.0 TYPE-C R/A SMT",,,3.26mm,,"GCT (GLOBAL CONNECTOR TECHNOLOGY)",USB4110-GF-A,,,640-USB4110-GF-A,https://www.mouser.co.uk/ProductDetail/GCT/USB4110-GF-A?qs=KUoIvG%2F9IlYiZvIXQjyJeA%3D%3D,,,,,,,,,,,,,,,,,,
1,SI1308EDL-T1-GE3,SI1308EDL-T1-GE3,SOT65P210X110-3N,Q2,"MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70",,,"In Stock",,https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=eda,,https://www.vishay.com/docs/63399/si1308edl.pdf," Si1308EDL-T1-GE3 N-channel MOSFET Transistor"," 1.5 A"," 30 V"," 3-Pin SC-70 | Siliconix / Vishay SI1308EDL-T1-GE3 ",,,,,,,"Vishay Siliconix",,,,,,SI1308EDL-T1-GE3,,"SOT-323 Vishay Semiconductor",,,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=274603&manufacturer=Vishay Siliconix&part_name=SI1308EDL-T1-GE3&search_term=None",,https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=snap,,,
1,TPTP20R,TPTP20R,TP20R,TP6,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3V3,
1,TPTP20R,TPTP20R,TP20R,TP7,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_3V3,
1,TPTP20R,TPTP20R,TP20R,TP15,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_3V3_C,
1,TPTP20R,TPTP20R,TP20R,TP11,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_BUSY,
1,TPTP20R,TPTP20R,TP20R,TP12,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_CS,
1,TPTP20R,TPTP20R,TP20R,TP13,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_DC,
1,TPTP20R,TPTP20R,TP20R,TP14,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,EPD_RST,
1,TPTP20R,TPTP20R,TP20R,TP4,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,GND,
1,TPTP20R,TPTP20R,TP20R,TP17,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,INT_RTC,
1,TPTP20R,TPTP20R,TP20R,TP8,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,MISO,
1,TPTP20R,TPTP20R,TP20R,TP9,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,MOSI,
1,TPTP20R,TPTP20R,TP20R,TP2,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,RX,
1,TPTP20R,TPTP20R,TP20R,TP10,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,SCK,
1,TPTP20R,TPTP20R,TP20R,TP1,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,TX,
1,TPTP20R,TPTP20R,TP20R,TP3,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,VBAT,
1,TPTP20R,TPTP20R,TP20R,TP16,"Test pad",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,VBUS,
1,USBLC6-2SC6Y,USBLC6-2SC6Y,SOT95P280X145-6N,D9,"Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23",,,"In Stock",,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=eda,,https://ro.mouser.com/datasheet/2/389/usblc6_2sc6y-1852505.pdf," 17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6 ",,,,,,,STMicroelectronics,,,https://ro.mouser.com/ProductDetail/STMicroelectronics/USBLC6-2SC6Y?utm_campaign=mouser&qs=gNDSiZmRJS%2FOgDexvXkdow==&utm_medium=online&utm_source=snapedaonline&utm_content=model,,,USBLC6-2SC6Y,,"SOT-23-6 STMicroelectronics",,,None,,,,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=snap,,,,,,
1,W25Q512JVEIQ,W25Q512JVEIQ,SON127P600X800X80-9N,U3,"Check availability",,,"In Stock",,https://www.snapeda.com/parts/W25Q512JVEIQ/Winbond+Electronics/view-part/?ref=eda,,https://www.winbond.com/resource-files/W25Q512JV%20SPI%20RevB%2006252019%20KMS.pdf," FLASH - NOR Memory IC 512Mb (64M x 8) SPI - Quad I/O 133 MHz 8-WSON (8x6) ",,,,,,,"Winbond Electronics",,,,,,W25Q512JVEIQ,,"Package ",,,None,,,,https://www.snapeda.com/parts/W25Q512JVEIQ/Winbond+Electronics/view-part/?ref=snap,,,,,,
1,XC6220A331MR-G,XC6220A331MR-G,SOT95P280X120-5N,IC2,"LDO Voltage Regulators",,,,,,,https://ro.mouser.com/datasheet/2/760/xc6220-3371556.pdf,"LDO Voltage Regulators",,,1.2mm,,Torex,XC6220A331MR-G,,,865-XC6220A331MR-G,https://www.mouser.co.uk/ProductDetail/Torex-Semiconductor/XC6220A331MR-G?qs=AsjdqWjXhJ8ZSWznL1J0gg%3D%3D,,,,,,,,,,,,,,,,,,
